Test Case,Our Metrics_Distance Metric,Our Metrics_Visibility Metric,Our Metrics_Legibility Metric,Our Metrics_Nominal Trajectory Metric,Distance + Visibility_Distance Metric,Distance + Visibility_Visibility Metric,Distance + Visibility_Legibility Metric,Distance + Visibility_Nominal Trajectory Metric,Legibility_Distance Metric,Legibility_Visibility Metric,Legibility_Legibility Metric,Legibility_Nominal Trajectory Metric,Nominal Trajectory_Distance Metric,Nominal Trajectory_Visibility Metric,Nominal Trajectory_Legibility Metric,Nominal Trajectory_Nominal Trajectory Metric,Speed Control_Distance Metric,Speed Control_Visibility Metric,Speed Control_Legibility Metric,Speed Control_Nominal Trajectory Metric
2620,1.0 +/- 0.0,1.0 +/- 0.0,0.31620050595277926 +/- 0.0,0.6435197730131343 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.11758909143714924 +/- 0.0,0.2443134869893171 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.4196580044103322 +/- 0.0,3.64472082658082 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,2.3134018016896947e-14 +/- 0.0
2620,1.0 +/- 0.0,1.0 +/- 0.0,0.12602906442177286 +/- 0.0,0.15628276872885033 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.11985969292046506 +/- 0.0,0.19639354432284428 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.4196580044103322 +/- 0.0,3.64472082658082 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,2.3134018016896947e-14 +/- 0.0
2620,0.0 +/- 0.0,1.0 +/- 0.0,0.5107290087846933 +/- 0.0,8.907367561078416 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.11986124440157886 +/- 0.0,0.2023428754827455 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.4196580044103322 +/- 0.0,3.64472082658082 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.12144698846331758 +/- 0.0,0.1462083836688026 +/- 0.0
3000,1.0 +/- 0.0,1.0 +/- 0.0,0.14753424997197917 +/- 0.0,0.5153867724462374 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.12040861612742138 +/- 0.0,0.19909593254457766 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.4196580044103322 +/- 0.0,3.64472082658082 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,2.3134018016896947e-14 +/- 0.0
3000,1.0 +/- 0.0,1.0 +/- 0.0,0.14753424997197917 +/- 0.0,0.5153867724462374 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.12040861612742138 +/- 0.0,0.19909593254457766 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.4196580044103322 +/- 0.0,3.64472082658082 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.12497387998895593 +/- 0.0,2.3134018016896947e-14 +/- 0.0
3000,1.0 +/- 0.0,1.0 +/- 0.0,0.4725031829488705 +/- 0.0,0.13761314496519472 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.4524813717589544 +/- 0.0,0.295835098905612 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.5237441356593047 +/- 0.0,1.0092660975662493 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.4655391719994397 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.46553917199943995 +/- 0.0,2.8406084775229692e-14 +/- 0.0
3000,1.0 +/- 0.0,1.0 +/- 0.0,0.5128019351795885 +/- 0.0,1.680032392052972 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.0016606641046591486 +/- 0.0,0.9024923105436348 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.4636493246327661 +/- 0.0,6.355135693106499 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.012127524199010531 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.012127524199010864 +/- 0.0,1.4110977125604423e-14 +/- 0.0
276,0.73 +/- 0.0,1.0 +/- 0.0,0.45573493214744043 +/- 0.0,3.4995271105401833 +/- 0.0,0.45 +/- 0.0,1.0 +/- 0.0,-0.025240826745093647 +/- 0.0,3.09922689194076 +/- 0.0,0.125 +/- 0.0,1.0 +/- 0.0,0.4636493246327661 +/- 0.0,6.355135693106499 +/- 0.0,0.33 +/- 0.0,1.0 +/- 0.0,0.012127524199010531 +/- 0.0,0.0 +/- 0.0,0.075 +/- 0.0,1.0 +/- 0.0,-0.006269077789233801 +/- 0.0,2.024699912143768 +/- 0.0
276,0.0 +/- 0.0,1.0 +/- 0.0,0.563321025036499 +/- 0.0,8.382812592763218 +/- 0.0,0.0 +/- 0.0,1.0 +/- 0.0,0.09025090582220985 +/- 0.0,3.889137369109319 +/- 0.0,0.0 +/- 0.0,0.45 +/- 0.0,0.4196580044103322 +/- 0.0,3.64472082658082 +/- 0.0,0.0 +/- 0.0,0.705 +/- 0.0,0.12497387998895593 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.545 +/- 0.0,-1.7387146770353468e-05 +/- 0.0,3.3535031924961367 +/- 0.0
520,0.98 +/- 0.0,1.0 +/- 0.0,0.48797782355857233 +/- 0.0,8.103631706329523 +/- 0.0,0.925 +/- 0.0,1.0 +/- 0.0,-0.015702905898655972 +/- 0.0,2.676528523649447 +/- 0.0,0.655 +/- 0.0,1.0 +/- 0.0,0.4636493246327661 +/- 0.0,6.355135693106499 +/- 0.0,0.835 +/- 0.0,1.0 +/- 0.0,0.012127524199010531 +/- 0.0,0.0 +/- 0.0,0.835 +/- 0.0,1.0 +/- 0.0,0.0121172801429692 +/- 0.0,0.0010173844135645499 +/- 0.0
